City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
228,Homer,US,59.6425,-151.5483,29.05,79,0,5.75,clear sky
229,Poum,NC,-20.2333,164.0167,81.03,83,100,27.04,overcast clouds
230,Otse,BW,-25.0167,25.7333,65.57,63,14,3.69,few clouds
231,Port Augusta,AU,-32.5,137.7667,56.71,61,0,10.45,clear sky
232,Staryy Nadym,RU,65.6118,72.6842,3.72,85,7,18.52,clear sky
233,Saratoga Springs,US,43.0831,-73.7846,44.37,63,52,4.0,light rain
234,Pierre,US,44.3683,-100.351,58.28,44,20,19.57,few clouds
235,Flin Flon,CA,54.7682,-101.865,3.04,72,100,11.5,light snow
236,Mount Gambier,AU,-37.8333,140.7667,52.75,92,53,4.81,broken clouds
237,Moa,CU,20.6569,-74.9403,79.72,73,35,5.37,scattered clouds
238,Sayyan,YE,15.1718,44.3244,55.13,31,0,2.21,clear sky
239,Sobolevo,RU,54.4299,31.8996,31.8,86,100,9.01,overcast clouds
240,Olafsvik,IS,64.8945,-23.7142,34.5,57,34,23.15,scattered clouds
241,Gat,IL,31.61,34.7642,51.4,100,78,5.57,broken clouds
242,Nanortalik,GL,60.1432,-45.2371,25.65,58,100,9.93,overcast clouds
243,Ancud,CL,-41.8697,-73.8203,63.43,49,4,13.76,clear sky
244,Borisoglebskiy,RU,57.2586,39.1508,31.64,91,67,10.31,broken clouds
245,Riyadh,SA,24.6877,46.7219,68.14,22,0,13.94,clear sky
246,Taksimo,RU,56.3444,114.8794,-13.83,96,100,1.72,overcast clouds
247,Buritis,BR,-15.6178,-46.4233,75.2,88,100,5.77,overcast clouds
248,Vestmanna,FO,62.1564,-7.1664,25.72,68,75,0.0,broken clouds
249,Kahului,US,20.8947,-156.47,78.96,69,3,8.01,clear sky
250,Dunedin,NZ,-45.8742,170.5036,60.58,90,6,3.83,clear sky
251,Darnah,LY,32.767,22.6367,55.31,69,19,21.97,few clouds
252,Burnie,AU,-41.0667,145.9167,54.95,76,5,9.51,clear sky
253,Wageningen,NL,51.9667,5.6667,43.93,83,100,4.61,overcast clouds
254,Buraydah,SA,26.326,43.975,66.65,44,56,14.2,broken clouds
255,Valparai,IN,10.3667,76.9667,60.57,56,100,4.12,overcast clouds
256,Morant Bay,JM,17.8815,-76.4093,80.65,76,18,8.77,few clouds
257,Nouakchott,MR,18.0858,-15.9785,84.13,22,89,14.23,overcast clouds
258,Terra Rica,BR,-22.7094,-52.6169,84.52,47,1,9.98,clear sky
259,Telimele,GN,10.9167,-13.3333,79.3,15,2,2.13,clear sky
260,Chalus,IR,36.655,51.4204,51.26,87,100,4.61,overcast clouds
261,Belaguntha,IN,19.8833,84.65,67.19,76,45,2.13,scattered clouds
262,Saldanha,ZA,-33.0117,17.9442,64.45,81,0,10.85,clear sky
263,Cabo San Lucas,MX,22.8909,-109.9124,77.61,54,0,4.61,clear sky
264,Parkes,AU,-33.1333,148.1833,67.35,67,0,3.96,clear sky
265,Chotila,IN,22.4167,71.1833,64.92,40,5,9.57,clear sky
266,Baykit,RU,61.67,96.37,-16.74,97,9,3.02,clear sky
267,Iralaya,HN,15.0,-83.2333,81.88,67,10,10.31,clear sky
268,Husavik,IS,66.0449,-17.3389,30.11,85,100,11.39,overcast clouds
269,Verkhoyansk,RU,67.5447,133.385,-39.24,100,99,1.63,overcast clouds
270,Ubinskoye,RU,55.3068,79.6802,-14.51,100,6,5.28,clear sky
271,Hovd,MN,48.0056,91.6419,-6.84,98,100,2.24,overcast clouds
272,Gvarv,NO,59.3875,9.1737,34.48,88,11,4.32,few clouds
273,Gamba,GA,-2.65,10.0,77.32,88,98,4.68,light rain
274,Sonoita,MX,31.85,-112.8333,75.52,11,0,9.33,clear sky
275,Wanning,CN,18.8003,110.3967,69.6,92,23,4.36,few clouds
276,Tottori,JP,35.5,134.2333,38.91,86,88,3.69,overcast clouds
277,Lucera,IT,41.5082,15.3351,46.22,67,0,3.22,clear sky
278,Saskylakh,RU,71.9167,114.0833,4.82,94,100,13.44,light snow
279,Noumea,NC,-22.2763,166.4572,80.01,99,100,26.17,moderate rain
280,Tura,IN,25.5198,90.2201,56.41,86,0,2.15,clear sky
281,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,84,9.98,broken clouds
282,College,US,64.8569,-147.8028,-7.2,78,75,4.61,light snow
283,Vicosa,BR,-20.7539,-42.8819,67.53,99,100,2.77,overcast clouds
284,Apollonia,GR,36.9716,24.7231,52.92,62,0,16.15,clear sky
285,Buguda,IN,19.8167,84.8,67.71,81,47,1.61,scattered clouds
286,Vallenar,CL,-28.5708,-70.7581,82.17,33,0,12.53,clear sky
287,Naze,JP,28.3667,129.4833,55.15,65,70,10.07,broken clouds
288,Mackay,AU,-21.15,149.2,72.68,94,40,6.91,scattered clouds
289,Olivet,FR,47.8622,1.8991,47.07,89,100,13.8,overcast clouds
290,Lavrentiya,RU,65.5833,-171.0,-29.78,97,62,4.63,broken clouds
291,Isiro,CD,2.7739,27.616,72.7,39,22,2.26,few clouds
292,Velyka Bahachka,UA,49.7912,33.7226,34.05,100,100,6.89,overcast clouds
293,Geilo,NO,60.5333,8.2076,10.04,90,13,8.95,few clouds
294,Colon,PA,9.3592,-79.9014,89.47,78,23,9.06,few clouds
295,Calama,CL,-22.4667,-68.9333,70.29,21,2,20.71,clear sky
296,Lebanon,US,36.2081,-86.2911,61.45,32,0,9.22,clear sky
297,Vila,PT,42.0304,-8.1588,46.74,79,97,2.93,overcast clouds
298,Kununurra,AU,-15.7667,128.7333,76.98,94,100,0.0,overcast clouds
299,Wahiawa,US,21.5028,-158.0236,77.32,60,0,3.44,clear sky
300,Victoria,HK,22.2855,114.1577,63.95,88,100,11.01,overcast clouds
301,Chapais,CA,49.7834,-74.8492,22.78,94,100,11.68,light snow
302,Pevek,RU,69.7008,170.3133,-33.16,99,100,8.61,overcast clouds
303,San Cristobal,VE,7.7669,-72.225,78.98,50,73,1.68,broken clouds
304,Canutama,BR,-6.5339,-64.3831,88.5,55,48,4.56,scattered clouds
305,Manica,FR,49.0,-1.1667,38.61,92,55,2.64,broken clouds
306,Camocim,BR,-2.9022,-40.8411,82.24,72,77,10.29,broken clouds
307,Coihaique,CL,-45.5752,-72.0662,59.61,38,20,12.66,few clouds
308,Hobyo,SO,5.3505,48.5268,75.87,66,38,20.67,scattered clouds
309,Sioux Falls,US,43.55,-96.7003,42.98,78,100,8.99,overcast clouds
310,Najran,SA,17.4924,44.1277,61.45,24,2,2.82,clear sky
311,Bukama,CD,-9.2,25.85,69.33,99,100,3.22,light rain
312,Kavieng,PG,-2.5744,150.7967,80.6,80,71,7.31,light rain
313,Rathdrum,US,47.8137,-116.892,48.49,71,20,6.91,few clouds
314,Siavonga,ZM,-16.5382,28.7088,75.69,83,98,5.3,overcast clouds
315,Villa Carlos Paz,AR,-31.4241,-64.4978,87.24,10,1,14.0,clear sky
316,Udarnyy,RU,54.3409,42.8611,26.76,97,96,6.76,light snow
317,Elmina,GH,5.0898,-1.348,80.33,85,0,8.55,clear sky
318,Portland,US,45.5234,-122.6762,57.06,83,100,5.75,overcast clouds
319,Wewak,PG,-3.5534,143.6268,78.24,87,100,3.58,overcast clouds
320,Port Lincoln,AU,-34.7333,135.8667,61.27,74,9,15.01,clear sky
321,Lukh,RU,57.0124,42.2584,30.04,96,100,9.1,light snow
322,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,33,0,12.66,clear sky
323,Geraldton,AU,-28.7667,114.6,68.41,88,40,8.05,scattered clouds
324,Sovetskiy,RU,61.3614,63.5842,6.6,95,100,11.07,overcast clouds
325,Peterhead,GB,57.5058,-1.7981,36.72,61,59,27.45,broken clouds
326,Villamaria,CO,5.0449,-75.5146,70.27,81,100,0.85,overcast clouds
327,Hervey Bay,AU,-25.2986,152.8535,67.03,78,0,13.2,clear sky
328,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,8.05,overcast clouds
329,Sao Filipe,CV,14.8961,-24.4956,78.26,54,100,8.48,overcast clouds
